Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
11-mai-2016 20:23:42.072,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,115.83000183,-,48.79810333,1.97467828,10,0,-,-,22.40919876,-
11-mai-2016 20:23:42.172,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.80000305,0.19390668,117.58999634,-,48.79809952,1.97468829,10,0,-,42,22.64995956,-
11-mai-2016 20:23:42.271,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,117.19999695,-,48.7980957,1.97469831,10,0,-,42,22.98331833,-
11-mai-2016 20:23:42.372,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,118.69999695,-,48.79809189,1.97470832,10,0,-,42,22.77960014,-
11-mai-2016 20:23:42.473,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,120.04000092,-,48.79809189,1.97471666,10,0,-,42,23.14999771,-
11-mai-2016 20:23:42.573,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,120.23000336,-,48.79808807,1.97472501,10,0,-,42,22.90924072,-
11-mai-2016 20:23:42.671,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,120.38999939,-,48.79808426,1.97473335,10,0,1920,42,23.37224007,-
11-mai-2016 20:23:42.773,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,122.70999908,-,48.79808044,1.9747417,10,0,1920,42,23.22407913,23
11-mai-2016 20:23:42.873,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.80000305,0.19390668,124.5,-,48.79807663,1.97475004,10,0,1920,42,23.29815865,23
11-mai-2016 20:23:42.974,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.80000305,0.19390668,123.91000366,-,48.79807281,1.97475839,11,0,1920,42,24.00191879,23
11-mai-2016 20:23:43.072,-0.06182861,9.42111206,3.09140015,0.10353494,-0.12676647,0.0382123,0.82108146,155.8999939,0.19390668,124.51000214,-,48.798069,1.97476661,11,0,1920,42,24.87236023,23
