Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
19-sept.-2016 08:04:06.055,-0.06370839,0.03064979,0.93535751,111.80000305,-0.08550026,155.75999451,-,48.8780899,2.0939517,3,0,-,-,37.33631897,-
19-sept.-2016 08:04:06.151,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,-,38.94755936,-
19-sept.-2016 08:04:06.251,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,38,38.94755936,-
19-sept.-2016 08:04:06.351,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,38,38.94755936,-
19-sept.-2016 08:04:06.452,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,38,38.94755936,-
19-sept.-2016 08:04:06.551,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,38,38.94755936,-
19-sept.-2016 08:04:06.653,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,38,38.94755936,-
19-sept.-2016 08:04:06.751,-0.06370839,0.03064979,0.93535751,113.09999847,-0.08550026,160.53999329,-,48.87799835,2.09399676,3,0,-,38,38.94755936,-
19-sept.-2016 08:04:06.852,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,-,38,38.22528076,-
19-sept.-2016 08:04:06.951,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,-
19-sept.-2016 08:04:07.051,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.151,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.252,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.351,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.451,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.551,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.651,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.751,-0.06370839,0.03064979,0.93535751,114.30000305,-0.08550026,160.82000732,-,48.8779068,2.09404492,3,0,2234,38,38.22528076,38
19-sept.-2016 08:04:07.851,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,-,48.87782669,2.09410834,3,0,2234,38,37.04000092,38
19-sept.-2016 08:04:07.951,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,-,48.87782669,2.09410834,3,0,2234,38,37.04000092,38
19-sept.-2016 08:04:08.053,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,-,48.87782669,2.09410834,3,0,2263,38,37.04000092,38
19-sept.-2016 08:04:08.154,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,38,37.04000092,39
19-sept.-2016 08:04:08.251,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.352,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.451,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.552,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.652,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.751,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.852,-0.06370839,0.03064979,0.93535751,115.59999847,-0.08550026,153.61999512,0.01280125,48.87782669,2.09410834,3,0,2263,39,37.04000092,39
19-sept.-2016 08:04:08.951,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.01280125,48.87774277,2.09417343,3,0,2263,39,36.13251877,39
19-sept.-2016 08:04:09.050,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.01280125,48.87774277,2.09417343,3,0,2263,39,36.13251877,39
19-sept.-2016 08:04:09.151,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.01280125,48.87774277,2.09417343,3,0,2263,39,36.13251877,39
19-sept.-2016 08:04:09.251,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.01280125,48.87774277,2.09417343,3,0,2263,39,36.13251877,39
19-sept.-2016 08:04:09.352,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.01280125,48.87774277,2.09417343,3,0,2263,39,36.13251877,39
19-sept.-2016 08:04:09.451,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.0263325,48.87774277,2.09417343,3,0,2101,39,36.13251877,36
19-sept.-2016 08:04:09.551,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.0263325,48.87774277,2.09417343,3,0,2101,39,36.13251877,36
19-sept.-2016 08:04:09.651,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.0263325,48.87774277,2.09417343,3,0,2101,39,36.13251877,36
19-sept.-2016 08:04:09.751,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.0263325,48.87774277,2.09417343,3,0,2101,39,36.13251877,36
19-sept.-2016 08:04:09.853,-0.06370839,0.03064979,0.93535751,115.19999695,-0.08550026,150.86999512,0.0263325,48.87774277,2.09417343,3,0,2101,39,36.13251877,36
19-sept.-2016 08:04:09.951,-0.06370839,0.03064979,0.93535751,116,-0.08550026,154.08999634,0.0263325,48.87765884,2.09421659,3,0,2101,39,34.39163971,36
19-sept.-2016 08:04:10.051,-0.29675242,0.11565571,0.69339138,116,-0.09281701,154.08999634,0.0263325,48.87765884,2.09421659,3,0,2101,40,34.39163971,36
19-sept.-2016 08:04:10.151,0.30376011,0.188831,1.00023925,116,0.7139374,154.08999634,0.03313806,48.87765884,2.09421659,3,0,1987,40,34.39163971,34
19-sept.-2016 08:04:10.251,0.06027023,0.1354128,1.03402162,116,0.08938786,154.08999634,0.03313806,48.87765884,2.09421659,3,0,1960,40,34.39163971,34
19-sept.-2016 08:04:10.351,-0.0246983,0.01686866,0.81327629,116,0.43745777,154.08999634,0.03454319,48.87765884,2.09421659,3,0,1960,40,34.39163971,33
19-sept.-2016 08:04:10.451,0.08783852,0.10004539,1.07207215,116,0.05243545,154.08999634,0.03454319,48.87765884,2.09421659,3,0,1919,40,34.39163971,33
19-sept.-2016 08:04:10.553,0.08783852,0.10004539,1.07207215,116,0.05243545,154.08999634,0.03614736,48.87765884,2.09421659,3,0,1872,40,34.39163971,33
19-sept.-2016 08:04:10.652,-0.12226631,0.08662979,0.76742065,116,0.31647471,154.08999634,0.03754666,48.87765884,2.09421659,3,0,1872,40,34.39163971,32
19-sept.-2016 08:04:10.751,-0.09285621,-0.00398502,0.89535493,116,0.04377637,154.08999634,0.03754666,48.87765884,2.09421659,3,0,1864,40,34.39163971,32
19-sept.-2016 08:04:10.852,0.03729898,0.11906988,0.85645044,116,0.4723368,154.08999634,0.03904889,48.87765884,2.09421659,3,0,1864,40,34.39163971,32
19-sept.-2016 08:04:10.951,-0.00946122,0.10907,0.92011273,116.90000153,0.24927539,160.05999756,0.04036139,48.8775177,2.09417176,3,0,1840,40,33.65084076,31
19-sept.-2016 08:04:11.053,-0.10486484,0.01418554,0.87815803,116.90000153,0.07133862,160.05999756,0.04036139,48.8775177,2.09417176,3,0,1802,40,33.65084076,31
