Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Trip Distance(km),Trip Time(Since journey start)(s)
13-juil.-2017 18:40:05.743,0.07818151,-0.08411154,1.04804695,0.13707429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-juil.-2017 18:40:05.841,0.07818151,-0.08411154,1.04804695,0.13707429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-juil.-2017 18:40:05.942,-0.09764956,-0.02228001,0.83132708,0.24939826,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-juil.-2017 18:40:06.041,-0.22998846,-0.01325384,0.76656669,-0.031351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13-juil.-2017 18:40:06.141,-0.22998846,-0.01325384,0.76656669,-0.031351,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.242,-0.22998846,-0.01325384,0.76656669,-0.031351,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.341,-0.15452799,-0.0506962,0.77339661,0.23707925,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.441,-0.18788119,-0.00910861,0.79815441,0.04816579,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.541,-0.06851606,0.01089269,0.84486401,0.29135138,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.641,0.04561901,-0.00508315,0.92584449,0.38513771,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.741,0.01194374,0.03601603,0.818277,0.49368042,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
13-juil.-2017 18:40:06.841,0.02885176,0.0513837,0.87169522,0.44343376,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
