Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
15-mars-2017 13:41:45.182,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.244,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.344,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.444,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.545,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.644,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.744,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.844,-,-,-,-,-,-,1.50835812,-,-,-,-,-,-,-,-
15-mars-2017 13:41:45.944,-,-,-,-,-,-,1.50835812,-,-,11,0,-,-,-,-
15-mars-2017 13:41:46.044,-,-,-,-,-,-,1.50835812,-,-,11,0,-,-,-,-
15-mars-2017 13:41:46.144,-,-,-,-,-,-,1.50835812,-,-,11,0,-,-,-,-
15-mars-2017 13:41:46.244,-,-,-,-,-,-,1.50835812,-,-,11,0,-,-,-,-
15-mars-2017 13:41:46.344,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:46.444,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:46.544,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:46.644,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:46.744,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:46.844,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:46.945,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:47.046,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:47.144,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:47.244,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:47.345,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:47.444,-,-,-,-,-,-,1.50835812,-,-,10,0,-,-,-,-
15-mars-2017 13:41:47.545,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:47.644,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:47.746,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:47.846,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:47.950,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:48.044,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:48.145,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:48.247,-,-,-,154.1000061,-,33.59000015,1.50835812,48.79114914,1.97158504,10,0,-,-,14.79747963,-
15-mars-2017 13:41:48.347,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:48.445,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:48.545,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:48.645,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:48.745,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:48.844,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:48.945,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:49.045,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:49.145,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:49.246,-,-,-,153.8999939,-,26.67000008,1.50835812,48.79118347,1.97161829,10,0,-,-,17.03839874,-
15-mars-2017 13:41:49.345,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:49.445,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:49.545,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:49.645,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:49.745,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:49.845,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:49.945,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:50.044,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:50.144,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:50.245,-,-,-,154.1000061,-,23.12999916,1.50835812,48.79122162,1.971645,10,0,-,-,16.03832054,-
15-mars-2017 13:41:50.344,-,-,-,154.6000061,-,26.63999939,1.50835812,48.79125977,1.97166836,10,0,-,-,14.8715601,-
15-mars-2017 13:41:50.444,-,-,-,154.6000061,-,26.63999939,1.50835812,48.79125977,1.97166836,10,0,-,-,14.8715601,-
