Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Trip Distance(km),Trip Time(Since journey start)(s)
13-mai-2018 19:29:03.226,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-
13-mai-2018 19:29:03.326,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,49,-,-,0
13-mai-2018 19:29:03.426,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,49,-,-,0
13-mai-2018 19:29:03.525,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,48,-,0.00336806,0
13-mai-2018 19:29:03.625,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,48,-,0.00336806,0
13-mai-2018 19:29:03.727,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,48,-,0.00336806,0
13-mai-2018 19:29:03.827,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,47,-,0.00669306,0
13-mai-2018 19:29:03.928,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,47,-,0.00669306,0
13-mai-2018 19:29:04.029,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,47,-,0.00669306,0
13-mai-2018 19:29:04.126,-,-,-,-,81,-,-,-,-,-,-,-,9,-,-,-,47,-,0.00669306,0
13-mai-2018 19:29:04.227,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,0
13-mai-2018 19:29:04.325,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,0
13-mai-2018 19:29:04.426,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,0
13-mai-2018 19:29:04.525,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:04.625,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:04.727,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:04.826,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:04.925,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:05.026,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:05.125,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:05.226,-,-,-,-,81,-,-,-,-,-,-,-,9,-,23,-,47,-,0.00669306,1
13-mai-2018 19:29:05.326,-,-,-,-,81,-,2050.25,-,-,-,-,-,9,-,23,-,42,-,0.0258157,2
