Device Time, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Coolant Temperature(°C),Engine Oil Temperature(°C),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Trip Distance(km),Trip Time(Since journey start)(s)
30-nov.-2018 19:09:00.089,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.090,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.091,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.093,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.094,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.095,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.111,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,-
30-nov.-2018 19:09:00.211,-,-,-,-,-,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,0
30-nov.-2018 19:09:00.310,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,0
30-nov.-2018 19:09:00.410,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,0
30-nov.-2018 19:09:00.511,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,-,0,-,-,-,0
30-nov.-2018 19:09:00.611,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:00.710,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:00.811,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:00.911,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:01.010,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:01.111,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:01.211,-,-,-,-,47,-,-,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:01.310,-,-,-,-,47,-,844.25,3,122,0,48.88010406,2.09109807,10,-,24,0,-,-,-,0
30-nov.-2018 19:09:01.410,-,-,-,-,47,-,844.25,3,122,0,48.88010406,2.09109807,10,-,24,0,0,-,-,0
