Device Time, Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Torque(Nm),Trip Distance(km),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Bearing(°),GPS Accuracy(m),Trip Time(Since journey start)(s),Intake Air Temperature(°C),Ambient air temp(°C),Engine Oil Temperature(°C),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
08-févr.-2019 07:59:13.445,0.09128019,0.60283983,-0.30306181,-0.35714367,-,-,139.28424072,48.87822723,2.09366894,24,160.37904358,6,-,-,-,-,-,37.40593719,-
08-févr.-2019 07:59:13.541,-0.04344352,0.89034808,0.65196335,0.16661274,-,-,139.28424072,48.87822723,2.09366894,24,160.37904358,6,0,-,-,-,26,37.40593719,-
08-févr.-2019 07:59:13.640,0.14595069,0.84617233,0.43523389,0.01216805,-,-,139.34368896,48.87813568,2.09371996,24,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:13.741,-0.31557566,0.68264896,0.31783879,-0.139365,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:13.841,0.13277119,0.9765029,-0.0536277,-0.01308484,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:13.940,0.13277119,0.9765029,-0.0536277,-0.01308484,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:14.042,0.1278899,1.0943861,-0.96813816,0.40322679,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:14.142,0.25236291,0.65628994,0.0742622,-0.27534181,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:14.242,-0.27042371,0.68362522,0.18946074,-0.20962888,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,-
08-févr.-2019 07:59:14.341,-0.20769906,1.05655611,-0.07803417,0.07736944,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,40
08-févr.-2019 07:59:14.441,-0.06028398,0.96918094,-0.0211671,-0.02541849,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,40
08-févr.-2019 07:59:14.541,0.18988234,1.04386473,0.29392046,0.13214736,-,-,139.34368896,48.87813568,2.09371996,22,159.68927002,6,0,-,-,-,26,38.5031662,40
08-févr.-2019 07:59:14.641,0.47568208,1.18786287,-0.34455281,0.30317208,-,-,139.43742371,48.87804031,2.09377313,22,160.64277649,6,1,-,-,-,26,39.19314194,40
08-févr.-2019 07:59:14.741,0.42125568,1.00042129,-0.38457942,0.12256186,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,-,-,-,26,39.19314194,40
08-févr.-2019 07:59:14.841,-0.12007983,0.99358743,0.75447047,0.31641117,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,-,-,-,26,39.19314194,40
08-févr.-2019 07:59:14.943,0.30361649,1.05313921,0.51016176,0.25485373,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,-,-,26,39.19314194,40
08-févr.-2019 07:59:15.041,-0.03856222,0.8347013,0.52187687,0.04196241,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,6,-,26,39.19314194,40
08-févr.-2019 07:59:15.141,-0.01317949,0.79882377,0.20532495,-0.14442044,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,6,-,26,39.19314194,40
08-févr.-2019 07:59:15.242,-0.06077211,1.01823795,-0.16345681,0.02237093,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,6,-,26,39.19314194,40
08-févr.-2019 07:59:15.342,-0.14326598,0.82347429,0.13503432,-0.13144293,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,6,17,26,39.19314194,40
08-févr.-2019 07:59:15.442,0.26773897,0.86691779,0.10232964,-0.0700761,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,6,17,26,39.19314194,40
08-févr.-2019 07:59:15.541,0.26773897,0.86691779,0.10232964,-0.0700761,-,-,139.43742371,48.87804031,2.09377313,21,160.64277649,6,1,8,6,17,26,39.19314194,40
08-févr.-2019 07:59:15.640,0.13887282,0.91768324,0.36836019,0.03996542,-,-,139.59997559,48.87794876,2.09383512,21,158.28546143,6,1,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:15.741,0.00146439,0.95331675,0.13332585,-0.01820869,-,-,139.59997559,48.87794876,2.09383512,23,158.28546143,6,1,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:15.841,-0.04173506,0.98895019,0.13674277,0.01809595,-,-,139.59997559,48.87794876,2.09383512,23,158.28546143,6,1,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:15.941,0.07858884,1.33796275,0.30124238,0.399519,20.60055733,0.01826667,139.59997559,48.87794876,2.09383512,23,158.28546143,6,2,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:16.043,0.07858884,1.33796275,0.30124238,0.399519,20.60055733,0.01826667,139.59997559,48.87794876,2.09383512,23,158.28546143,6,2,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:16.141,-0.33339238,0.85129768,0.31393373,0.00393606,20.60055733,0.01826667,139.59997559,48.87794876,2.09383512,23,158.28546143,6,2,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:16.242,0.22844456,0.84324354,-0.18957174,-0.12148038,20.60055733,0.01826667,139.59997559,48.87794876,2.09383512,23,158.28546143,6,2,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:16.343,0.04954514,1.0858438,0.20288432,0.12876949,20.60055733,0.01826667,139.59997559,48.87794876,2.09383512,23,158.28546143,6,2,8,6,17,26,39.77012634,40
08-févr.-2019 07:59:16.443,-0.18353665,0.84958923,0.51797187,0.06684303,20.60055733,0.01826667,139.59997559,48.87794876,2.09383512,23,158.28546143,6,2,8,6,17,26,39.77012634,40
